address1,address2,city,country,createdAt,loc.coordinates,name,priceLevel,reviewStats.community.averageScore,reviewStats.community.count,reviewStats.dave.averageScore,reviewStats.dave.count,reviewStats.dave.totalScore,state,zip,formatted_address,latitude,longitude,string_concat,dave_score_int,review_number
739 9th Ave,,New York,US,2018-03-23T17:44:19.636Z,"[-73.9891899, 40.76346]",Uncle Mario's Brick Oven Pizza,2,7,8,7.1,1,7.1,NY,10019,"739 9th Ave, New York, NY 10019, USA",40.7634874,-73.9891893,Uncle Mario's Brick Oven Pizza | Dave - 7.1 | Community - 7.0,71,370
158 W 58th St,,New York,US,2018-03-23T17:46:29.258Z,"[-73.9789609411455, 40.7657742268877]",Bella Vita Pizzeria,1,5.466666667,3,5.8,1,5.8,NY,10019,"158 W 58th St, New York, NY 10019, USA",40.7656728,-73.9788018,Bella Vita Pizzeria | Dave - 5.8 | Community - 5.47,58,371
707 9th Ave,,New York,US,2018-03-23T17:44:17.701Z,"[-73.98996, 40.76265]",IPizzaNY,1,6.866666667,3,2.1,1,2.1,NY,10019,"707 9th Ave, New York, NY 10019, USA",40.7626772,-73.9900119,IPizzaNY | Dave - 2.1 | Community - 6.87,21,372
210 West 55th St,,New York,US,2018-04-16T19:58:11.868Z,"[-73.9819, 40.7645]",Serafina Broadway,2,8.6,1,7.3,1,7.3,NY,10019,"210 W 55th St, New York, NY 10019, USA",40.7644023,-73.9819469,Serafina Broadway | Dave - 7.3 | Community - 8.6,73,373
598 10th Ave,,New York,US,2018-03-23T17:43:36.527Z,"[-73.99469, 40.7604]",Claudio Pizzeria,1,6.55,4,6.4,1,6.4,NY,10036,"598 10th Ave, New York, NY 10036, USA",40.7603494,-73.9946144,Claudio Pizzeria | Dave - 6.4 | Community - 6.55,64,374
309 W 50th St,,New York,US,2018-04-16T21:20:09.358Z,"[-73.986708, 40.762711]",Don Antonio,2,7.555555556,9,6.4,1,6.4,NY,10019,"Don Antonio's Pizza, 309 W 50th St, New York, NY 10019, USA",40.7627178,-73.9867076,Don Antonio | Dave - 6.4 | Community - 7.56,64,375
117 W 57th St,,New York,US,2018-03-23T17:46:25.619Z,"[-73.97794, 40.76492]",Angelo's Coal Oven Pizzeria,2,8.630555556,216,9.3,1,9.3,NY,10019,"117 W 57th St, New York, NY 10019, USA",40.7649042,-73.9779409,Angelo's Coal Oven Pizzeria | Dave - 9.3 | Community - 8.63,93,376
630 9th Ave,,New York,US,2018-03-23T17:43:38.992Z,"[-73.99113, 40.76018]",Nizza,2,0,0,6.8,1,6.8,NY,10036,"630 9th Ave, New York, NY 10036, USA",40.759987,-73.9912338,Nizza | Dave - 6.8 | Community - 0.0,68,377
803 8th Ave,,New York,US,2018-04-16T19:58:08.412Z,"[-73.9868286252022, 40.7613895833492]",Z Deli Pizzeria,1,4.15,2,3.1,1,3.1,NY,10019,"803 8th Ave, New York, NY 10019, USA",40.7614264,-73.9869946,Z Deli Pizzeria | Dave - 3.1 | Community - 4.15,31,378
1375 Avenue Of The Americas,,New York,US,2018-03-23T17:46:22.505Z,"[-73.978, 40.7635099]",Pazza Notte,2,7.5,1,4.8,1,4.8,NY,10019,"1375 6th Ave, New York, NY 10019, USA",40.7635749,-73.9781737,Pazza Notte | Dave - 4.8 | Community - 7.5,48,379
760 8th Ave,,New York,US,2018-03-23T17:43:31.816Z,"[-73.9873568460327, 40.7602042287575]",Carve,1,5.58,10,4.1,1,4.1,NY,10036,"760 8th Ave, New York, NY 10036, USA",40.7601189,-73.9872281,Carve | Dave - 4.1 | Community - 5.58,41,380
727 8th Ave,,New York,US,2018-06-27T18:58:59.996Z,"[-73.98829, 40.75962]",A Slice of New York,2,3.116666667,6,4.1,1,4.1,NY,10036,"727 8th Ave, New York, NY 10036, USA",40.7596624,-73.9883351,A Slice of New York | Dave - 4.1 | Community - 3.12,41,381
69 W 55th St,,New York,US,2018-03-23T17:46:31.912Z,"[-73.9776668697596, 40.7629335072372]",PizzArte,2,7.715789474,19,8.1,1,8.1,NY,10019,"69 W 55th St, New York, NY 10019, USA",40.7629267,-73.9774423,PizzArte | Dave - 8.1 | Community - 7.72,81,382
728 8th Ave,,New York,US,2018-03-23T17:40:46.650Z,"[-73.98809, 40.75927]",Daniela Trattoria,2,7.15,2,3.6,1,3.6,NY,10036,"728 8th Ave, New York, NY 10036, USA",40.7592788,-73.9880805,Daniela Trattoria | Dave - 3.6 | Community - 7.15,36,383
547 9th Ave,,New York,US,2018-03-23T17:43:14.370Z,"[-73.99357, 40.75744]",Capizzi,2,8.033333333,6,7.1,1,7.1,NY,10018,"547 9th Ave, New York, NY 10018, USA",40.7574739,-73.9936489,Capizzi | Dave - 7.1 | Community - 8.03,71,384
231 W 46th St,,New York,US,2018-04-16T19:58:11.817Z,"[-73.9867857052142, 40.7594653910395]",Patzeria Perfect Pizza,1,6.85,4,5,1,5,NY,10036,"231 W 46th St, New York, NY 10036, USA",40.7594681,-73.9867714,Patzeria Perfect Pizza | Dave - 5.0 | Community - 6.85,50,385
142 W 49th St,,New York,US,2018-03-23T17:43:19.083Z,"[-73.98291, 40.76003]",Pasta Lovers,2,6.5,1,4.8,1,4.8,NY,10019,"142 W 49th St, New York, NY 10019, USA",40.7599841,-73.9828704,Pasta Lovers | Dave - 4.8 | Community - 6.5,48,386
260 W 44th St,,New York,US,2018-03-23T17:44:06.040Z,"[-73.98836, 40.75823]",John's of Times Square,2,8.405042017,119,8.4,1,8.4,NY,10036,"260 W 44th St, New York, NY 10036, USA",40.7582117,-73.9883958,John's of Times Square | Dave - 8.4 | Community - 8.41,84,387
142 West 49th St,,New York,US,2018-03-23T17:43:21.306Z,"[-73.983009, 40.759907]",Radio City Pizza,1,5.92,10,6.1,1,6.1,NY,10019,"142 W 49th St, New York, NY 10019, USA",40.7599841,-73.9828704,Radio City Pizza | Dave - 6.1 | Community - 5.92,61,388
488 9th Ave,,New York,US,2018-03-23T17:42:16.989Z,"[-73.994516, 40.755403]",Tavola,2,4,1,6.3,1,6.3,NY,10018,"488 9th Ave, New York, NY 10018, USA",40.7554122,-73.9945527,Tavola | Dave - 6.3 | Community - 4.0,63,389
231 1st Ave,,New York,US,2018-03-23T17:47:57.167Z,"[-73.983039, 40.731155]",Vinny Vincenz,1,7.461538462,26,8.4,1,8.4,NY,10003,"231 1st Avenue, New York, NY 10003, USA",40.7312068,-73.9831636,Vinny Vincenz | Dave - 8.4 | Community - 7.46,84,390
345 E 12th St,,New York,US,2018-09-23T15:55:21.065Z,"[-73.98403, 40.73033]",Sauce Pizzeria,0,8.94233871,248,9.1,1,9.1,NY,10003,"345 E 12th St, New York, NY 10003, USA",40.7304367,-73.9839514,Sauce Pizzeria | Dave - 9.1 | Community - 8.94,91,391
321 1st Ave,,New York,US,2018-03-23T17:45:22.824Z,"[-73.9807356842589, 40.7342428424445]",Pisa Pizza,1,3.7,1,8.1,1,8.1,NY,10003,"321 1st Avenue, New York, NY 10003, USA",40.7342727,-73.9807805,Pisa Pizza | Dave - 8.1 | Community - 3.7,81,392
371 1st Ave,,New York,US,2018-04-16T19:58:10.032Z,"[-73.979473, 40.73612]",Frank's Trattoria,2,7.883333333,6,7.8,1,7.8,NY,10010,"371 1st Avenue, New York, NY 10010, USA",40.7360768,-73.9793407,Frank's Trattoria | Dave - 7.8 | Community - 7.88,78,393
195 10th Ave,,New York,US,2018-04-16T19:58:10.155Z,"[-74.0049896784992, 40.7468940064083]",Pepe Giallo,2,7.7,2,7.7,1,7.7,NY,10011,"195 10th Ave, New York, NY 10011, USA",40.746892,-74.005017,Pepe Giallo | Dave - 7.7 | Community - 7.7,77,394
214 10th Ave,,New York,US,2018-03-23T17:45:18.550Z,"[-74.0042828600478, 40.7472138000271]",Don Giovanni Ristorante,2,7.225,4,4.6,1,4.6,NY,10011,"214 10th Ave, New York, NY 10011, USA",40.7473469,-74.0042175,Don Giovanni Ristorante | Dave - 4.6 | Community - 7.22,46,395
513 W 27th St,,New York,US,2018-03-29T20:03:59.422Z,"[-74.0030212402344, 40.7507476806641]",Ovest Pizzoteca by Luzzo's,2,8.4,1,6.9,1,6.9,NY,10001,"513 W 27th St, New York, NY 10001, USA",40.7507787,-74.0030054,Ovest Pizzoteca by Luzzo's | Dave - 6.9 | Community - 8.4,69,396
256 10th Ave,,New York,US,2018-07-31T15:10:43.996Z,"[-74.003174, 40.74878]",10th Avenue Pizza & Cafe,1,4.95,4,6.9,1,6.9,NY,10001,"256 10th Ave, New York, NY 10001, USA",40.748746,-74.0031343,10th Avenue Pizza & Cafe | Dave - 6.9 | Community - 4.95,69,397
110 9th Ave,,New York,US,2018-03-23T17:47:15.182Z,"[-74.0036058425903, 40.7430302030745]",Stella's Pizza,1,6.166666667,6,6.2,1,6.2,NY,10011,"110 9th Ave, New York, NY 10011, USA",40.7429242,-74.0036349,Stella's Pizza | Dave - 6.2 | Community - 6.17,62,398
144 9th Ave,,New York,US,2018-03-23T17:46:15.959Z,"[-74.00295, 40.74381]",Gotham Pizza,1,6.9,3,6.9,1,6.9,NY,10011,"144 9th Ave, New York, NY 10011, USA",40.7438893,-74.003031,Gotham Pizza | Dave - 6.9 | Community - 6.9,69,399
503 W 28th St,,New York,US,2018-03-23T17:44:52.419Z,"[-74.0020523, 40.751049]",Highline Pizza,1,5.6,2,1.7,1,1.7,NY,10001,"503 W 28th St, New York, NY 10001, USA",40.7510941,-74.0022306,Highline Pizza | Dave - 1.7 | Community - 5.6,17,400
304 W 14th St,,New York,US,2018-04-16T19:58:10.008Z,"[-74.003288, 40.740022]",Rocky's Pizza 14th St,1,6.375,4,1.4,1,1.4,NY,10014,"304 W 14th St, New York, NY 10014, USA",40.739882,-74.0033717,Rocky's Pizza 14th St | Dave - 1.4 | Community - 6.38,14,401
65 8th Ave,,New York,US,2018-04-16T19:58:11.670Z,"[-74.00321, 40.73927]",Village Pizza,1,7.65,4,6.9,1,6.9,NY,10014,"65 8th Ave, New York, NY 10014, USA",40.7392653,-74.0031865,Village Pizza | Dave - 6.9 | Community - 7.65,69,402
307 W 17th St,,New York,US,2018-03-23T17:46:43.877Z,"[-74.0019458249749, 40.7419889767239]",Pizza Italia,1,4.033333333,3,4.2,1,4.2,NY,10011,"307 W 17th St, New York, NY 10011, USA",40.741945,-74.0014362,Pizza Italia | Dave - 4.2 | Community - 4.03,42,403
204 9th Ave,,New York,US,2018-03-23T17:47:24.511Z,"[-74.0013, 40.74597]",Famous Original Ray's Pizza,1,5.766666667,6,6.2,1,6.2,NY,10011,"204 9th Ave, New York, NY 10011, USA",40.7459915,-74.0013473,Famous Original Ray's Pizza | Dave - 6.2 | Community - 5.77,62,404
230 9th Ave,,New York,US,2018-03-23T17:41:17.701Z,"[-74.00041, 40.74745]",Company,2,0,0,7.2,1,7.2,NY,10001,"230 9th Ave, New York, NY 10001, USA",40.7471546,-74.0005218,Company | Dave - 7.2 | Community - 0.0,72,405
201 W 11th St,,New York,US,2018-03-23T17:48:11.408Z,"[-74.0014999, 40.7366979]",Two Boots West Village,1,0,0,6.6,1,6.6,NY,10014,"201 W 11th St, New York, NY 10014, USA",40.7367059,-74.0014372,Two Boots West Village | Dave - 6.6 | Community - 0.0,66,406
180 7th Ave S,,New York,US,2018-04-16T19:58:08.530Z,"[-74.0015335, 40.736145]",Rivoli Pizza,1,6.0625,8,7.8,1,7.8,NY,10014,"180 7th Ave S, New York, NY 10014, USA",40.7360738,-74.0016678,Rivoli Pizza | Dave - 7.8 | Community - 6.06,78,407
261 W 18th St,,New York,US,2018-04-16T19:58:09.190Z,"[-74.00032, 40.7422]",Pizza Rollio,2,6.3,2,6.6,1,6.6,NY,10011,"261 W 18th St, New York, NY 10011, USA",40.7422264,-74.000314,Pizza Rollio | Dave - 6.6 | Community - 6.3,66,408
1 Perry St,,New York,US,2018-06-27T14:03:44.848Z,"[-74.00093, 40.73596]",Rosemary's Pizza,0,7.95,2,7.4,1,7.4,NY,10014,"1 Perry St, New York, NY 10014, USA",40.7359857,-74.0009892,Rosemary's Pizza | Dave - 7.4 | Community - 7.95,74,409
51 W 51st St,,New York,US,2018-03-23T17:45:50.099Z,"[-73.97879, 40.76013]",Teresa's Brick Oven Pizza & Cafe,1,6.533333333,12,7.3,1,7.3,NY,10019,"51 W 51st St, New York, NY 10019, USA",40.7603402,-73.9790395,Teresa's Brick Oven Pizza & Cafe | Dave - 7.3 | Community - 6.53,73,410
550 Madison Ave,,New York,US,2018-03-23T17:45:48.079Z,"[-73.97312, 40.761239]",Pizza Da Solo,2,0,0,7.8,1,7.8,NY,10022,"550 Madison Ave, New York, NY 10022, USA",40.7615215,-73.9735986,Pizza Da Solo | Dave - 7.8 | Community - 0.0,78,411
274 W 40th St,,New York,US,2018-03-23T17:45:57.866Z,"[-73.99052, 40.75576]",Kiss My Slice,1,6.466666667,15,6.3,1,6.3,NY,10018,"274 W 40th St, New York, NY 10018, USA",40.7557265,-73.9905152,Kiss My Slice | Dave - 6.3 | Community - 6.47,63,412
30 Rockefeller Plz,,New York,US,2018-04-16T19:58:08.318Z,"[-73.978991619574, 40.7590970070704]",Harry's Italian Pizza Bar,1,7.621428571,14,7.3,1,7.3,NY,10112,"Rockefeller Plaza, Rockefeller Plaza, New York, NY 10111, USA",40.7593755,-73.9799726,Harry's Italian Pizza Bar | Dave - 7.3 | Community - 7.62,73,413
598 8th Ave,,New York,US,2019-01-09T01:17:45.737Z,"[-73.9911494, 40.7550912]",Upside Pizza,0,7.544444444,18,7.4,1,7.4,NY,10018,"598 8th Ave, New York, NY 10018, USA",40.755125,-73.9910524,Upside Pizza | Dave - 7.4 | Community - 7.54,74,414
989 1st Ave,,New York,US,2018-03-23T17:44:15.249Z,"[-73.96431, 40.75674]",Sofia Pizza Shoppe,1,7.7,10,7.9,1,7.9,NY,10022,"989 1st Avenue, New York, NY 10022, USA",40.7566759,-73.9643508,Sofia Pizza Shoppe | Dave - 7.9 | Community - 7.7,79,415
985 1st Ave,,New York,US,2018-06-15T23:18:56.537Z,"[-73.9644299, 40.75656]",Marinara Pizza,1,6.885714286,7,7.3,1,7.3,NY,10022,"985 1st Avenue, New York, NY 10022, USA",40.7565439,-73.9644294,Marinara Pizza | Dave - 7.3 | Community - 6.89,73,416
930 3rd Ave,,New York,US,2018-03-23T17:46:11.387Z,"[-73.968069, 40.7595532]",Cassiano's Pizza,1,6.0625,8,6.6,1,6.6,NY,10022,"930 3rd Ave, New York, NY 10022, USA",40.7595458,-73.9683607,Cassiano's Pizza | Dave - 6.6 | Community - 6.06,66,417
1005 2nd Ave,,New York,US,2018-04-16T19:58:10.476Z,"[-73.96729, 40.75701]",Primavera Pizza & Pasta,1,6.0875,8,6.7,1,6.7,NY,10022,"1005 2nd Ave, New York, NY 10022, USA",40.7570286,-73.9672695,Primavera Pizza & Pasta | Dave - 6.7 | Community - 6.09,67,418
139 E 57th St,,New York,US,2018-03-23T17:45:40.969Z,"[-73.96879, 40.76095]",Belmora Pizza & Restaurant,1,4.725,4,6.4,1,6.4,NY,10022,"139 E 57th St, New York, NY 10022, USA",40.761057,-73.9687578,Belmora Pizza & Restaurant | Dave - 6.4 | Community - 4.72,64,419
318 W 23rd St,,New York,US,2018-04-16T19:58:11.468Z,"[-73.9993392, 40.7454863]",Zia Maria-Chelsea,2,7.733333333,3,7.1,1,7.1,NY,10011,"318 W 23rd St, New York, NY 10011, USA",40.7454027,-73.9993382,Zia Maria-Chelsea | Dave - 7.1 | Community - 7.73,71,420
211 8th Ave,,New York,US,2018-03-23T17:46:46.039Z,"[-73.9997112751007, 40.7439080906573]",Joe's Pizza,1,6.011111111,9,7.8,1,7.8,NY,10011,"211 8th Ave, New York, NY 10011, USA",40.743953,-73.999752,Joe's Pizza | Dave - 7.8 | Community - 6.01,78,421
413 8th Ave,,New York,US,2018-03-23T17:49:11.503Z,"[-73.9953231811523, 40.7502059936523]",NY Pizza Suprema,1,7.888288288,111,8.2,1,8.2,NY,10001,"413 8th Ave, New York, NY 10001, USA",40.750205,-73.995321,NY Pizza Suprema | Dave - 8.2 | Community - 7.89,82,422
548 Laguardia Pl,,New York,US,2018-07-26T18:15:58.416Z,"[-73.99839, 40.72907]",3 Giovani,2,6.3,1,7.7,1,7.7,NY,10012,"548 LaGuardia Pl, New York, NY 10012, USA",40.7290573,-73.9983778,3 Giovani | Dave - 7.7 | Community - 6.3,77,423
Broadway Between 42nd And 43rd St,,New York,US,2018-03-23T17:41:50.169Z,"[-73.9870407328186, 40.7561806257236]",Rock Pizza Scissors,0,5.7,5,7.9,1,7.9,NY,10036,"214 W 43rd St, New York, NY 10036, USA",40.757071,-73.9876474,Rock Pizza Scissors | Dave - 7.9 | Community - 5.7,79,424
123 MacDougal St,,New York,US,2018-03-23T17:42:33.245Z,"[-74.00027, 40.7304]",Ben's Pizzeria,1,6.028571429,7,5.4,1,5.4,NY,10012,"123 Macdougal St, New York, NY 10012, USA",40.7303784,-74.0003231,Ben's Pizzeria | Dave - 5.4 | Community - 6.03,54,425
3 Greenwich Ave,,New York,US,2018-03-23T17:43:41.139Z,"[-73.999852, 40.733826]",Olio e Piú,2,6.3,1,5.2,1,5.2,NY,10014,"3 Greenwich Ave, New York, NY 10014, USA",40.7338794,-73.9999408,Olio e Piú | Dave - 5.2 | Community - 6.3,52,426
906 3rd Ave,,New York,US,2018-03-23T17:46:06.506Z,"[-73.96875, 40.7589]",D Napoli Pizza,1,0,0,5.2,1,5.2,NY,10022,"906 3rd Ave, New York, NY 10022, USA",40.758842,-73.9689802,D Napoli Pizza | Dave - 5.2 | Community - 0.0,52,427
690 Lexington Ave,,New York,US,2018-03-23T17:45:45.256Z,"[-73.9694809, 40.7608512]",My Pie Pizzeria Romana,1,6.25,4,4.3,1,4.3,NY,10022,"690 Lexington Ave, New York, NY 10022, USA",40.7606993,-73.9695477,My Pie Pizzeria Romana | Dave - 4.3 | Community - 6.25,43,428
224 E 53rd St,,New York,US,2018-03-23T17:43:00.882Z,"[-73.9685135, 40.7570801]",Angelo Bellini,2,7.3,2,5.7,1,5.7,NY,10022,"224 E 53rd St, New York, NY 10022, USA",40.7571427,-73.9684855,Angelo Bellini | Dave - 5.7 | Community - 7.3,57,429
132 E 56th St,,New York,US,2018-03-23T17:45:43.085Z,"[-73.9701185417372, 40.7603726135173]",Pizza By Certé,1,7.2,1,6.6,1,6.6,NY,10022,"132 E 56th St, New York, NY 10022, USA",40.7603114,-73.9700904,Pizza By Certé | Dave - 6.6 | Community - 7.2,66,430
922 2nd Ave,,New York,US,2018-03-23T17:42:28.884Z,"[-73.96889, 40.75408]",La Vera Pizzeria & Restaurant,1,6.775,8,6.2,1,6.2,NY,10017,"922 2nd Ave, New York, NY 10017, USA",40.7540761,-73.9688452,La Vera Pizzeria & Restaurant | Dave - 6.2 | Community - 6.78,62,431
780 3rd Ave,,New York,US,2018-03-23T17:45:16.348Z,"[-73.97172, 40.755]",Aperitivo Pizza Bar,2,0,0,6.8,1,6.8,NY,10017,"780 3rd Ave, New York, NY 10017, USA",40.7550182,-73.9718457,Aperitivo Pizza Bar | Dave - 6.8 | Community - 0.0,68,432
145 E 49th St,,New York,US,2018-03-23T17:46:58.988Z,"[-73.9720153808594, 40.7557792663574]",La Bellezza,1,7.2125,24,7.8,1,7.8,NY,10017,"145 E 49th St, New York, NY 10017, USA",40.7558161,-73.9720294,La Bellezza | Dave - 7.8 | Community - 7.21,78,433
844 2nd Ave,,New York,US,2018-08-01T20:08:45.662Z,"[-73.97069, 40.75161]",La Trattoria,1,6.6,4,6.8,1,6.8,NY,10017,"844 2nd Ave, New York, NY 10017, USA",40.7515735,-73.970671,La Trattoria | Dave - 6.8 | Community - 6.6,68,434
801 2nd Ave,,New York,US,2018-03-23T17:43:16.570Z,"[-73.972129, 40.750427]",Patsy's Pizzeria,2,8.366666667,33,8.6,1,8.6,NY,10017,"801 2nd Ave, New York, NY 10017, USA",40.7504432,-73.9720574,Patsy's Pizzeria | Dave - 8.6 | Community - 8.37,86,435
300 Park Ave,,New York,US,2018-03-23T17:43:25.742Z,"[-73.97471, 40.75705]",Picciotto NYC,1,6.5,2,8.4,1,8.4,NY,10022,"300 Park Ave, New York, NY 10022, USA",40.7570209,-73.9746695,Picciotto NYC | Dave - 8.4 | Community - 6.5,84,436
47th St & Park Ave,,New York,US,2018-04-16T19:58:09.267Z,"[-73.9752442659602, 40.7552637282396]",Jiannetto's Pizza Truck,1,8.225,4,8.1,1,8.1,NY,10017,"W 47th St, New York, NY 10036, USA",40.760405,-73.9874535,Jiannetto's Pizza Truck | Dave - 8.1 | Community - 8.22,81,437
420 Madison Ave,Fl 14,New York,US,2018-08-21T19:46:32.200Z,"[-73.9764746, 40.7569188]",Deli On Madison,1,0,0,6.1,1,6.1,NY,10017,"420 Madison Ave, New York, NY 10017, USA",40.7570116,-73.9765061,Deli On Madison | Dave - 6.1 | Community - 0.0,61,438
The Metlife Building,200 Park Ave,New York,US,2018-04-16T19:58:10.131Z,"[-73.9761771158691, 40.7538240126528]",Naples 45 Ristorante E Pizzeria,2,0,0,5.1,1,5.1,NY,10166,"200 Park Ave, New York, NY 10166, USA",40.7535178,-73.9767512,Naples 45 Ristorante E Pizzeria | Dave - 5.1 | Community - 0.0,51,439
70 Vanderbilt Ave,,New York,US,2018-03-23T17:46:13.515Z,"[-73.9768720536618, 40.7547371227125]",Uncle Paul's Pizza,2,6.223076923,13,5.1,1,5.1,NY,10017,"70 Vanderbilt Ave, New York, NY 10017, USA",40.7548319,-73.9768992,Uncle Paul's Pizza | Dave - 5.1 | Community - 6.22,51,440
123 E 41st St,,New York,US,2018-03-23T17:45:14.121Z,"[-73.9767879766344, 40.7509380299598]",Previti Pizza,1,5.02,5,4.9,1,4.9,NY,10168,"123 E 41st St, New York, NY 10168, USA",40.7510051,-73.9767973,Previti Pizza | Dave - 4.9 | Community - 5.02,49,441
592 3rd Ave,,New York,US,2018-03-23T17:45:53.844Z,"[-73.97628, 40.7488]",Royal Pizza,1,6.817647059,17,7.5,1,7.5,NY,10016,"592 3rd Ave, New York, NY 10016, USA",40.7488024,-73.9762776,Royal Pizza | Dave - 7.5 | Community - 6.82,75,442
89 E 42nd St,,New York,US,2018-04-16T19:58:09.666Z,"[-73.977629, 40.752579]",Prova Pizzabar,1,5.878947368,19,7.4,1,7.4,NY,10017,"89 E 42nd St, New York, NY 10017, USA",40.7527277,-73.9772353,Prova Pizzabar | Dave - 7.4 | Community - 5.88,74,443
341 Lexington Ave,,New York,US,2018-03-23T17:46:08.924Z,"[-73.97704, 40.74969]",Giuseppe's Pizza,1,7.2,4,6.2,1,6.2,NY,10016,"341 Lexington Ave, New York, NY 10016, USA",40.7496668,-73.9769653,Giuseppe's Pizza | Dave - 6.2 | Community - 7.2,62,444
629 2nd Ave,,New York,US,2018-03-23T17:47:06.053Z,"[-73.97584, 40.74514]",Garlic New York Pizza Bar,1,7.64,10,6.8,1,6.8,NY,10016,"629 2nd Ave, New York, NY 10016, USA",40.7451535,-73.975869,Garlic New York Pizza Bar | Dave - 6.8 | Community - 7.64,68,445
268 W 23rd St,,New York,US,2018-05-17T14:56:28.066Z,"[-73.99834, 40.74506]",Lions & Tigers & Squares Detroit Pizza,1,7.532142857,28,7.1,1,7.1,NY,10011,"268 W 23rd St, New York, NY 10011, USA",40.7450574,-73.9983379,Lions & Tigers & Squares Detroit Pizza | Dave - 7.1 | Community - 7.53,71,446
290 8th Ave,,New York,US,2018-07-19T21:38:37.318Z,"[-73.9974, 40.74623]",Lombardi's pizza,0,7.86875,16,8.1,1,8.1,NY,10001,"290 8th Ave, New York, NY 10001, USA",40.7462466,-73.9974449,Lombardi's pizza | Dave - 8.1 | Community - 7.87,81,447
488 8th Ave,,New York,US,2018-03-23T17:48:44.033Z,"[-73.99305, 40.75246]",Famous Famiglia Pizzeria,1,6.964,25,7.4,1,7.4,NY,10001,"488 8th Ave, New York, NY 10001, USA",40.7524427,-73.9930147,Famous Famiglia Pizzeria | Dave - 7.4 | Community - 6.96,74,448
408 8th Ave,,New York,US,2018-04-16T19:58:10.251Z,"[-73.99481, 40.74979]",Famous Amadeus Pizza,1,6.1,6,5.7,1,5.7,NY,10001,"408 8th Ave, New York, NY 10001, USA",40.7498097,-73.9947843,Famous Amadeus Pizza | Dave - 5.7 | Community - 6.1,57,449
234 W 31st St,,New York,US,2018-10-25T21:19:28.467Z,"[-73.9936216111172, 40.7497125617343]",Amtrak,0,1,1,0.08,1,0.08,NY,10001,"234 W 31st St, New York, NY 10001, USA",40.7496468,-73.993399,Amtrak | Dave - 0.08 | Community - 1.0,0,450
160 2nd Ave,,New York,US,2018-04-16T19:58:11.109Z,"[-73.9866918325424, 40.7297791962756]",Nicoletta Pizzeria,2,8.2,5,8.1,1,8.1,NY,10003,"160 2nd Ave, New York, NY 10003, USA",40.7297781,-73.9865052,Nicoletta Pizzeria | Dave - 8.1 | Community - 8.2,81,451
221 W 38th St,,New York,US,2018-03-23T17:48:48.944Z,"[-73.989497, 40.754057]",Lazzara's Pizza,2,8.507619048,210,9.3,1,9.3,NY,10018,"221 W 38th St, New York, NY 10018, USA",40.7540255,-73.9895336,Lazzara's Pizza | Dave - 9.3 | Community - 8.51,93,452
607 2nd Ave,,New York,US,2018-03-23T17:47:03.802Z,"[-73.9764, 40.74438]",Rocky's Number II,1,6.183333333,6,2.8,1,2.8,NY,10016,"607 2nd Ave, New York, NY 10016, USA",40.7443961,-73.976455,Rocky's Number II | Dave - 2.8 | Community - 6.18,28,453
310 2nd Ave,,New York,US,2018-04-16T19:58:11.731Z,"[-73.98282, 40.73483]",Posto,2,6.9,2,6.8,1,6.8,NY,10003,"310 2nd Ave, New York, NY 10003, USA",40.7348297,-73.9828007,Posto | Dave - 6.8 | Community - 6.9,68,454
462-466 2nd Ave,,New York,US,2018-03-23T17:45:06.856Z,"[-73.9792862, 40.7398415]",Patrizia's Pizza and Pasta,2,7.685714286,7,7.9,1,7.9,NY,10016,"462 2nd Ave, New York, NY 10016, USA",40.7399505,-73.9789431,Patrizia's Pizza and Pasta | Dave - 7.9 | Community - 7.69,79,455
415 2nd Ave,,New York,US,2018-03-23T17:46:51.346Z,"[-73.9806645185456, 40.7385362974077]",Mike's Pizza,1,7.37,10,7.7,1,7.7,NY,10010,"415 2nd Ave, New York, NY 10010, USA",40.7385388,-73.9806841,Mike's Pizza | Dave - 7.7 | Community - 7.37,77,456
493 2nd Ave,,New York,US,2018-04-16T19:58:10.852Z,"[-73.97891, 40.74094]",Joey Pepperoni's Pizza,1,5.233333333,3,5.9,1,5.9,NY,10016,"493 2nd Ave, New York, NY 10016, USA",40.7409664,-73.9789915,Joey Pepperoni's Pizza | Dave - 5.9 | Community - 5.23,59,457
546 3rd Ave,,New York,US,2018-03-23T17:47:50.872Z,"[-73.97721, 40.74727]",Libretto's Pizzeria,1,6.64,10,3.9,1,3.9,NY,10016,"546 3rd Ave, New York, NY 10016, USA",40.7473317,-73.977338,Libretto's Pizzeria | Dave - 3.9 | Community - 6.64,39,458
489 Third Ave,,New York,US,2018-03-23T17:47:48.721Z,"[-73.978233, 40.745075]",Brick Oven Pizza 33,1,7.721875,32,8.2,1,8.2,NY,10016,"489 3rd Ave, New York, NY 10016, USA",40.7450509,-73.9782801,Brick Oven Pizza 33 | Dave - 8.2 | Community - 7.72,82,459
268 W 23rd St,,New York,US,2018-03-23T17:49:18.462Z,"[-73.9977807551622, 40.7449536770582]",Chelsea Pizza 23,1,0,0,5.9,1,5.9,NY,10011,"268 W 23rd St, New York, NY 10011, USA",40.7450574,-73.9983379,Chelsea Pizza 23 | Dave - 5.9 | Community - 0.0,59,460
