address1,address2,city,country,createdAt,loc.coordinates,name,priceLevel,reviewStats.community.averageScore,reviewStats.community.count,reviewStats.dave.averageScore,reviewStats.dave.count,reviewStats.dave.totalScore,state,zip,formatted_address,latitude,longitude,string_concat,dave_score_int,review_number
78 Main St,,Lakeville,US,2018-07-18T16:29:22.899Z,"[-70.93152, 41.86939]",Baldie's Pizza & Subs,2,6.7,2,6.2,1,6.2,MA,2347,"78 Main St, Lakeville, MA 02347, USA",41.8693793,-70.9320635,Baldie's Pizza & Subs | Dave - 6.2 | Community - 6.7,62,307
979 Main St,,Brockton,US,2018-04-16T20:16:08.565Z,"[-71.016845703125, 42.0660057067871]",Cape Cod Cafe,2,8.941176471,17,8.5,1,8.5,MA,2301,"979 Main St, Brockton, MA 02301, USA",42.0660348,-71.0165789,Cape Cod Cafe | Dave - 8.5 | Community - 8.94,85,308
118 Main St,,Woburn,US,2018-04-16T22:12:08.432Z,"[-71.15025, 42.47098]",Louie's Pizza,2,8.251851852,27,7.5,1,7.5,MA,1801,"118 Main St, Woburn, MA 01801, USA",42.4709405,-71.1502244,Louie's Pizza | Dave - 7.5 | Community - 8.25,75,309
1119 Washington St,,Stoughton,US,2018-04-16T20:16:09.408Z,"[-71.101166, 42.114986]",Town Spa Pizza,2,8.545,60,9,1,9,MA,2072,"1119 Washington St, Stoughton, MA 02072, USA",42.1149423,-71.1011701,Town Spa Pizza | Dave - 9.0 | Community - 8.54,90,310
199 Boylston St,,Chestnut Hill,US,2018-04-16T20:16:10.493Z,"[-71.176166, 42.321763]",Frank Pepe Pizzeria Napoletana - Chestnut Hill,2,8.668181818,66,9.4,1,9.4,MA,2467,"199 Boylston St, Chestnut Hill, MA 02467, USA",42.3215125,-71.1756718,Frank Pepe Pizzeria Napoletana - Chestnut Hill | Dave - 9.4 | Community - 8.67,94,311
188 Baker St,,West Roxbury,US,2018-04-16T20:16:08.250Z,"[-71.167236, 42.2760615]",Tony's Place,2,8.2,14,8.5,1,8.5,MA,2132,"188 Baker St, West Roxbury, MA 02132, USA",42.2760134,-71.1672475,Tony's Place | Dave - 8.5 | Community - 8.2,85,312
7 State Rd,,Chilmark,US,2018-07-23T14:59:28.697Z,"[-70.7450492286068, 41.3420579983804]",Chilmark General Store,2,6.9,2,6.6,1,6.6,MA,2535,"7 State Rd, Aquinnah, MA 02535, USA",41.3420782,-70.74509,Chilmark General Store | Dave - 6.6 | Community - 6.9,66,313
14 Main St,,Hopkinton,US,2018-05-02T21:43:30.043Z,"[-71.5202026367188, 42.2294692993164]",Bill's Pizzeria Kitchen + Grille,2,6.225,4,6.4,1,6.4,MA,1748,"14 Main St, Hopkinton, MA 01748, USA",42.229138,-71.5200453,Bill's Pizzeria Kitchen + Grille | Dave - 6.4 | Community - 6.22,64,314
350 Trolley Line Blvd,,Mashantucket,US,2018-03-23T17:43:42.780Z,"[-71.9612122, 41.4739246]",Regina Pizzeria,0,5.972727273,11,6.4,1,6.4,CT,6338,"350 Trolley Line Blvd, Ledyard, CT 06338, USA",41.4733358,-71.9600034,Regina Pizzeria | Dave - 6.4 | Community - 5.97,64,315
874 State St,,New Haven,US,2018-05-03T02:09:59.366Z,"[-72.912766, 41.313822]",Modern Apizza,2,8.65443787,169,8.8,1,8.8,CT,6511,"874 State St, New Haven, CT 06511, USA",41.3138627,-72.9129505,Modern Apizza | Dave - 8.8 | Community - 8.65,88,316
157 Wooster St,,New Haven,US,2018-05-03T02:09:57.471Z,"[-72.916899, 41.302918]",Frank Pepe Pizzeria Napoletana,2,8.723316062,193,8.5,1,8.5,CT,6511,"157 Wooster St, New Haven, CT 06511, USA",41.3029994,-72.9169202,Frank Pepe Pizzeria Napoletana | Dave - 8.5 | Community - 8.72,85,317
237 Wooster St,,New Haven,US,2018-05-03T02:09:59.154Z,"[-72.9200345042992, 41.3030742225571]",Sally's Apizza,2,8.941176471,136,9.2,1,9.2,CT,6511,"237 Wooster St, New Haven, CT 06511, USA",41.3031003,-72.9200566,Sally's Apizza | Dave - 9.2 | Community - 8.94,92,318
254 Crown St,,New Haven,US,2018-05-03T02:09:59.162Z,"[-72.93039, 41.30607]",BAR,2,7.897916667,48,7.4,1,7.4,CT,6511,"254 Crown St, New Haven, CT 06511, USA",41.3061295,-72.9303245,BAR | Dave - 7.4 | Community - 7.9,74,319
886 Hope St,,Stamford,US,2018-05-03T02:15:57.124Z,"[-73.51863, 41.0893299]",Riko's Pizza,2,7.446153846,13,8.2,1,8.2,CT,6907,"886 Hope St, Stamford, CT 06907, USA",41.0893349,-73.5184796,Riko's Pizza | Dave - 8.2 | Community - 7.45,82,320
172 Myrtle Ave,,Stamford,US,2018-04-15T19:33:24.725Z,"[-73.527164, 41.0509068]",Colony Grill,2,8.020833333,48,8.4,1,8.4,CT,6902,"172 Myrtle Ave, Stamford, CT 06902, USA",41.0507692,-73.527249,Colony Grill | Dave - 8.4 | Community - 8.02,84,321
30 W Lincoln Ave,,Mount Vernon,US,2018-04-16T19:58:10.632Z,"[-73.8394046884605, 40.917546441153]",Johnny's Pizzeria,2,9.063636364,77,9.1,1,9.1,NY,10550,"30 W Lincoln Ave, Mt Vernon, NY 10550, USA",40.9176619,-73.8393793,Johnny's Pizzeria | Dave - 9.1 | Community - 9.06,91,322
600 E 187th St,,Bronx,US,2018-03-29T20:04:01.810Z,"[-73.88753, 40.85539]",Full Moon Pizzeria,1,7.442857143,7,6.2,1,6.2,NY,10458,"600 E 187th St, The Bronx, NY 10458, USA",40.8553028,-73.8875914,Full Moon Pizzeria | Dave - 6.2 | Community - 7.44,62,323
1814 2nd Ave,,New York,US,2018-03-23T17:41:33.731Z,"[-73.94781, 40.78272]",Nick's Pizza,2,8.233333333,3,6.6,1,6.6,NY,10128,"1814 2nd Ave, New York, NY 10128, USA",40.7827162,-73.9478073,Nick's Pizza | Dave - 6.6 | Community - 8.23,66,324
924 Columbus Ave,,New York,US,2018-04-16T19:58:11.690Z,"[-73.96347, 40.79889]",Pie Pie Pizza,1,7.42,5,7.3,1,7.3,NY,10025,"924 Columbus Ave, New York, NY 10025, USA",40.7989045,-73.9634659,Pie Pie Pizza | Dave - 7.3 | Community - 7.42,73,325
941 Amsterdam Ave,,New York,US,2018-04-16T19:58:10.273Z,"[-73.9653, 40.80045]",Mama's Pizzeria,1,6.7,1,6.9,1,6.9,NY,10025,"941 Amsterdam Ave, New York, NY 10025, USA",40.8004768,-73.9653026,Mama's Pizzeria | Dave - 6.9 | Community - 6.7,69,326
1631 2nd Ave,,New York,US,2018-04-16T21:44:06.936Z,"[-73.95254369493, 40.7770939076836]",PQR,1,7.025,8,6.1,1,6.1,NY,10028,"1631 2nd Ave, New York, NY 10028, USA",40.7771534,-73.952629,PQR | Dave - 6.1 | Community - 7.02,61,327
1603 2nd Ave,,New York,US,2018-04-16T19:58:11.327Z,"[-73.95327, 40.776219]",Vinnie's Pizzeria,1,7.16,15,7.1,1,7.1,NY,10028,"1603 2nd Ave, New York, NY 10028, USA",40.7762259,-73.9532948,Vinnie's Pizzeria | Dave - 7.1 | Community - 7.16,71,328
